txn_id,account_id,txn_date,txn_type,category,amount,balance_after,channel,description,status
62,ABL-10001,2025-04-24,Credit,Loan Payment,628.97,155220.79,Mobile App,Loan Payment via Mobile App,Success
63,ABL-10001,2023-12-01,Debit,Insurance,19380.6,135840.19,Branch,Insurance via Branch,Success
64,ABL-10001,2024-01-11,Debit,Transfer,48387.9,87452.29,Online,Transfer via Online,Success
65,ABL-10001,2025-03-25,Credit,Transfer,5376.91,92829.2,Mobile App,Transfer via Mobile App,Success
66,ABL-10001,2023-03-12,Debit,Insurance,28128.42,64700.78,Online,Insurance via Online,Success
67,ABL-10001,2024-01-03,Credit,Loan Payment,20247.44,84948.22,Mobile App,Loan Payment via Mobile App,Success
68,ABL-10001,2024-06-22,Credit,Utility Bill,2893.6,87841.82,ATM,Utility Bill via ATM,Success
69,ABL-10001,2025-09-15,Credit,Utility Bill,21842.18,109684.0,Online,Utility Bill via Online,Success
70,ABL-10001,2026-10-27,Debit,Loan Payment,21987.39,87696.61,Branch,Loan Payment via Branch,Success
71,ABL-10001,2023-10-17,Debit,Shopping,7911.59,79785.02,POS,Shopping via POS,Success
72,ABL-10001,2022-12-06,Debit,Utility Bill,43496.99,36288.03,Mobile App,Utility Bill via Mobile App,Success
73,ABL-10001,2025-03-06,Debit,Utility Bill,10859.62,25428.41,Branch,Utility Bill via Branch,Success
74,ABL-10001,2025-12-31,Credit,Insurance,21661.29,47089.7,Mobile App,Insurance via Mobile App,Success
75,ABL-10001,2023-04-28,Debit,Investment,38533.99,8555.71,Mobile App,Investment via Mobile App,Success
76,ABL-10001,2022-11-27,Credit,Salary,1061.92,9617.63,Online,Salary via Online,Success
77,ABL-10001,2024-04-25,Credit,Insurance,31051.74,40669.37,ATM,Insurance via ATM,Success
78,ABL-10001,2023-04-02,Credit,Loan Payment,18906.42,59575.79,POS,Loan Payment via POS,Success
79,ABL-10001,2023-05-16,Credit,Insurance,47113.85,106689.64,ATM,Insurance via ATM,Success
80,ABL-10001,2024-08-18,Debit,Utility Bill,8102.53,98587.11,Mobile App,Utility Bill via Mobile App,Pending
81,ABL-10001,2025-08-02,Credit,Insurance,26298.54,124885.65,Mobile App,Insurance via Mobile App,Success
82,ABL-10001,2023-01-02,Credit,Investment,31852.1,156737.75,ATM,Investment via ATM,Success
83,ABL-10001,2025-11-11,Debit,Utility Bill,28732.88,128004.87,Online,Utility Bill via Online,Success
84,ABL-10001,2027-09-18,Credit,Loan Payment,36557.56,164562.43,POS,Loan Payment via POS,Failed
85,ABL-10001,2025-09-11,Debit,Cash Withdrawal,40378.59,124183.84,Branch,Cash Withdrawal via Branch,Success
86,ABL-10001,2025-12-24,Debit,Transfer,10828.59,113355.25,Mobile App,Transfer via Mobile App,Success
87,ABL-10001,2024-05-05,Credit,Transfer,10817.44,124172.69,Mobile App,Transfer via Mobile App,Failed
88,ABL-10001,2024-04-04,Debit,Insurance,29969.76,94202.93,Mobile App,Insurance via Mobile App,Success
89,ABL-10001,2024-12-08,Credit,Salary,11187.12,105390.05,Mobile App,Salary via Mobile App,Success
90,ABL-10001,2026-12-11,Credit,Insurance,13501.05,118891.1,Branch,Insurance via Branch,Success
91,ABL-10001,2023-10-12,Debit,Utility Bill,41057.07,77834.03,Online,Utility Bill via Online,Failed
92,ABL-10001,2023-02-11,Debit,Utility Bill,34218.27,43615.76,Mobile App,Utility Bill via Mobile App,Success
93,ABL-10001,2024-07-27,Debit,Transfer,22771.69,20844.07,Online,Transfer via Online,Success
94,ABL-10001,2026-09-14,Debit,Shopping,24564.02,0.0,Branch,Shopping via Branch,Success
95,ABL-10001,2024-11-18,Credit,Insurance,18537.65,18537.65,Mobile App,Insurance via Mobile App,Failed
96,ABL-10001,2024-12-30,Credit,Salary,39057.8,57595.45,Mobile App,Salary via Mobile App,Success
97,ABL-10001,2024-08-23,Credit,Loan Payment,33448.69,91044.14,Branch,Loan Payment via Branch,Success
98,ABL-10001,2025-10-02,Credit,Transfer,18488.81,109532.95,POS,Transfer via POS,Success
99,ABL-10001,2026-10-22,Credit,Utility Bill,8279.73,117812.68,Online,Utility Bill via Online,Success
100,ABL-10001,2023-03-24,Credit,Shopping,44721.7,162534.38,ATM,Shopping via ATM,Pending
101,ABL-10001,2027-01-11,Debit,Transfer,17260.31,145274.07,Branch,Transfer via Branch,Success
102,ABL-10001,2027-04-27,Credit,Utility Bill,30772.09,176046.16,ATM,Utility Bill via ATM,Success
103,ABL-10001,2026-01-06,Debit,Utility Bill,13397.24,162648.92,POS,Utility Bill via POS,Success
104,ABL-10001,2024-12-20,Credit,Shopping,25174.8,187823.72,POS,Shopping via POS,Success
105,ABL-10001,2027-10-21,Credit,Investment,11843.82,199667.54,Online,Investment via Online,Failed
106,ABL-10001,2027-04-28,Debit,Loan Payment,12465.71,187201.83,ATM,Loan Payment via ATM,Success
107,ABL-10001,2024-09-28,Debit,Investment,44630.18,142571.65,ATM,Investment via ATM,Success
108,ABL-10001,2027-04-13,Debit,Cash Withdrawal,4134.59,138437.06,Online,Cash Withdrawal via Online,Success
109,ABL-10001,2024-11-29,Debit,Transfer,25237.93,113199.13,POS,Transfer via POS,Success
110,ABL-10001,2026-09-20,Credit,Loan Payment,19258.28,132457.41,POS,Loan Payment via POS,Failed
111,ABL-10001,2024-05-03,Debit,Insurance,44765.06,87692.35,Online,Insurance via Online,Success
112,ABL-10001,2027-04-14,Credit,Transfer,31714.32,119406.67,Branch,Transfer via Branch,Success
113,ABL-10001,2023-11-17,Debit,Transfer,44084.19,75322.48,ATM,Transfer via ATM,Success
114,ABL-10001,2027-07-03,Debit,Salary,44232.66,31089.82,ATM,Salary via ATM,Success
115,ABL-10001,2024-03-30,Credit,Transfer,32961.29,64051.11,Mobile App,Transfer via Mobile App,Success
116,ABL-10001,2024-10-17,Debit,Transfer,29865.41,34185.7,Branch,Transfer via Branch,Success
117,ABL-10002,2026-11-28,Debit,Salary,27988.12,330990.29,POS,Salary via POS,Success
118,ABL-10002,2023-01-11,Credit,Salary,19819.46,350809.75,POS,Salary via POS,Success
119,ABL-10002,2026-05-11,Credit,Loan Payment,8860.45,359670.2,Online,Loan Payment via Online,Success
120,ABL-10002,2026-10-06,Credit,Loan Payment,26097.07,385767.27,POS,Loan Payment via POS,Success
121,ABL-10002,2024-02-29,Debit,Transfer,33038.23,352729.04,Mobile App,Transfer via Mobile App,Success
122,ABL-10002,2023-03-23,Credit,Insurance,34738.95,387467.99,POS,Insurance via POS,Success
123,ABL-10002,2025-05-23,Debit,Loan Payment,21869.05,365598.94,ATM,Loan Payment via ATM,Success
124,ABL-10002,2027-02-11,Credit,Cash Withdrawal,26061.07,391660.01,Mobile App,Cash Withdrawal via Mobile App,Success
125,ABL-10002,2025-01-11,Credit,Salary,15099.78,406759.79,ATM,Salary via ATM,Success
126,ABL-10002,2025-01-04,Debit,Loan Payment,8096.15,398663.64,ATM,Loan Payment via ATM,Success
127,ABL-10002,2023-01-05,Debit,Shopping,47835.47,350828.17,Mobile App,Shopping via Mobile App,Success
128,ABL-10002,2025-04-23,Credit,Loan Payment,33856.31,384684.48,POS,Loan Payment via POS,Failed
129,ABL-10002,2022-10-30,Credit,Salary,16293.75,400978.23,Online,Salary via Online,Success
130,ABL-10002,2024-06-13,Credit,Insurance,5367.5,406345.73,ATM,Insurance via ATM,Success
131,ABL-10002,2025-02-12,Credit,Utility Bill,6936.72,413282.45,POS,Utility Bill via POS,Success
132,ABL-10002,2024-11-12,Credit,Loan Payment,6877.36,420159.81,POS,Loan Payment via POS,Success
133,ABL-10002,2023-05-19,Debit,Utility Bill,46201.97,373957.84,ATM,Utility Bill via ATM,Pending
134,ABL-10002,2024-03-09,Debit,Loan Payment,25816.45,348141.39,Branch,Loan Payment via Branch,Success
135,ABL-10002,2024-05-21,Debit,Cash Withdrawal,19396.13,328745.26,ATM,Cash Withdrawal via ATM,Success
136,ABL-10002,2023-04-21,Debit,Investment,13016.48,315728.78,Branch,Investment via Branch,Success
137,ABL-10002,2023-10-02,Debit,Salary,15993.68,299735.1,Branch,Salary via Branch,Success
138,ABL-10002,2023-07-16,Debit,Utility Bill,32751.31,266983.79,Branch,Utility Bill via Branch,Success
139,ABL-10002,2026-09-25,Debit,Transfer,36162.27,230821.52,Online,Transfer via Online,Success
140,ABL-10002,2024-02-11,Debit,Utility Bill,18478.52,212343.0,ATM,Utility Bill via ATM,Success
141,ABL-10002,2024-10-27,Credit,Cash Withdrawal,48772.63,261115.63,Mobile App,Cash Withdrawal via Mobile App,Success
142,ABL-10002,2025-08-20,Credit,Utility Bill,20293.78,281409.41,Mobile App,Utility Bill via Mobile App,Failed
143,ABL-10002,2024-04-18,Credit,Cash Withdrawal,40242.77,321652.18,Mobile App,Cash Withdrawal via Mobile App,Success
144,ABL-10002,2022-10-29,Debit,Utility Bill,42975.34,278676.84,ATM,Utility Bill via ATM,Success
145,ABL-10002,2023-12-29,Debit,Shopping,11528.17,267148.67,POS,Shopping via POS,Pending
146,ABL-10002,2023-08-16,Credit,Loan Payment,6685.62,273834.29,Mobile App,Loan Payment via Mobile App,Success
147,ABL-10002,2024-04-20,Credit,Shopping,30431.38,304265.67,Online,Shopping via Online,Success
148,ABL-10002,2025-03-13,Credit,Salary,27442.2,331707.87,ATM,Salary via ATM,Success
149,ABL-10002,2027-05-18,Debit,Salary,23522.85,308185.02,Branch,Salary via Branch,Success
150,ABL-10002,2024-05-11,Credit,Salary,31494.01,339679.03,POS,Salary via POS,Success
151,ABL-10002,2025-03-04,Credit,Insurance,48533.39,388212.42,ATM,Insurance via ATM,Success
152,ABL-10002,2025-09-16,Credit,Shopping,18679.75,406892.17,POS,Shopping via POS,Success
153,ABL-10002,2022-06-25,Debit,Shopping,21529.96,385362.21,Branch,Shopping via Branch,Success
154,ABL-10002,2024-04-30,Debit,Salary,36511.36,348850.85,Branch,Salary via Branch,Success
155,ABL-10002,2026-09-24,Credit,Utility Bill,15361.04,364211.89,Branch,Utility Bill via Branch,Success
156,ABL-10002,2025-02-08,Debit,Cash Withdrawal,11501.42,352710.47,POS,Cash Withdrawal via POS,Success
157,ABL-10002,2026-07-03,Debit,Transfer,45197.7,307512.77,Branch,Transfer via Branch,Success
158,ABL-10002,2024-01-08,Debit,Cash Withdrawal,18887.81,288624.96,Branch,Cash Withdrawal via Branch,Success
159,ABL-10002,2023-10-18,Debit,Insurance,15580.94,273044.02,Branch,Insurance via Branch,Success
160,ABL-10002,2024-04-24,Debit,Cash Withdrawal,8417.58,264626.44,Branch,Cash Withdrawal via Branch,Success
161,ABL-10002,2025-02-23,Credit,Investment,20523.2,285149.64,Mobile App,Investment via Mobile App,Success
162,ABL-10002,2024-03-05,Debit,Loan Payment,43583.67,241565.97,Online,Loan Payment via Online,Success
163,ABL-10002,2025-07-18,Debit,Utility Bill,16402.76,225163.21,Branch,Utility Bill via Branch,Success
164,ABL-10002,2023-03-16,Credit,Salary,14520.67,239683.88,Online,Salary via Online,Success
165,ABL-10002,2023-01-11,Debit,Insurance,3081.94,236601.94,Online,Insurance via Online,Success
166,ABL-10003,2021-11-05,Debit,Cash Withdrawal,25239.54,99755.26,POS,Cash Withdrawal via POS,Success
167,ABL-10003,2021-01-11,Credit,Cash Withdrawal,45084.5,144839.76,Mobile App,Cash Withdrawal via Mobile App,Success
168,ABL-10003,2023-06-19,Credit,Shopping,28471.32,173311.08,Mobile App,Shopping via Mobile App,Success
169,ABL-10003,2021-08-10,Credit,Shopping,1590.37,174901.45,POS,Shopping via POS,Success
170,ABL-10003,2023-08-02,Credit,Insurance,19956.29,194857.74,Online,Insurance via Online,Success
171,ABL-10003,2023-02-21,Credit,Shopping,23324.39,218182.13,Mobile App,Shopping via Mobile App,Success
172,ABL-10003,2021-10-15,Debit,Loan Payment,17316.99,200865.14,Online,Loan Payment via Online,Success
173,ABL-10003,2021-07-07,Credit,Cash Withdrawal,5723.79,206588.93,Branch,Cash Withdrawal via Branch,Success
174,ABL-10003,2023-10-18,Credit,Investment,17371.22,223960.15,Mobile App,Investment via Mobile App,Success
175,ABL-10003,2021-11-25,Credit,Shopping,42429.55,266389.7,POS,Shopping via POS,Success
176,ABL-10003,2022-11-03,Credit,Shopping,7707.84,274097.54,POS,Shopping via POS,Failed
177,ABL-10003,2022-07-30,Debit,Utility Bill,4215.06,269882.48,Branch,Utility Bill via Branch,Success
178,ABL-10003,2023-03-02,Credit,Cash Withdrawal,20424.63,290307.11,Online,Cash Withdrawal via Online,Success
179,ABL-10003,2021-05-15,Debit,Transfer,20807.9,269499.21,Mobile App,Transfer via Mobile App,Failed
180,ABL-10003,2020-12-30,Credit,Cash Withdrawal,13574.81,283074.02,POS,Cash Withdrawal via POS,Success
181,ABL-10003,2025-02-09,Credit,Investment,40246.73,323320.75,Mobile App,Investment via Mobile App,Failed
182,ABL-10003,2025-01-13,Debit,Investment,48365.11,274955.64,ATM,Investment via ATM,Success
183,ABL-10003,2023-12-12,Credit,Transfer,15866.03,290821.67,Mobile App,Transfer via Mobile App,Success
184,ABL-10003,2022-03-14,Debit,Salary,3220.64,287601.03,Branch,Salary via Branch,Success
185,ABL-10003,2024-03-24,Credit,Transfer,24316.51,311917.54,ATM,Transfer via ATM,Success
186,ABL-10003,2023-07-05,Credit,Insurance,24168.27,336085.81,POS,Insurance via POS,Failed
187,ABL-10003,2022-06-08,Credit,Investment,1709.71,337795.52,POS,Investment via POS,Success
188,ABL-10003,2024-09-14,Debit,Salary,16710.56,321084.96,POS,Salary via POS,Success
189,ABL-10003,2021-03-11,Debit,Investment,45839.8,275245.16,Mobile App,Investment via Mobile App,Success
190,ABL-10003,2024-02-07,Debit,Shopping,32551.42,242693.74,ATM,Shopping via ATM,Success
191,ABL-10003,2025-01-01,Credit,Shopping,41907.78,284601.52,POS,Shopping via POS,Pending
192,ABL-10003,2022-06-20,Debit,Shopping,14934.02,269667.5,Mobile App,Shopping via Mobile App,Success
193,ABL-10003,2024-10-28,Debit,Insurance,11383.0,258284.5,Online,Insurance via Online,Success
194,ABL-10003,2021-11-08,Debit,Investment,22830.86,235453.64,Mobile App,Investment via Mobile App,Success
195,ABL-10003,2020-12-11,Credit,Shopping,12299.1,247752.74,Branch,Shopping via Branch,Success
196,ABL-10003,2025-04-28,Credit,Salary,40436.63,288189.37,Online,Salary via Online,Success
197,ABL-10003,2025-08-21,Credit,Loan Payment,14989.71,303179.08,Mobile App,Loan Payment via Mobile App,Success
198,ABL-10003,2024-03-03,Debit,Utility Bill,15392.37,287786.71,ATM,Utility Bill via ATM,Success
199,ABL-10003,2023-11-12,Credit,Investment,35751.35,323538.06,Branch,Investment via Branch,Success
200,ABL-10003,2023-09-12,Debit,Investment,37609.09,285928.97,Online,Investment via Online,Success
201,ABL-10003,2021-04-10,Credit,Insurance,20870.15,306799.12,Branch,Insurance via Branch,Success
202,ABL-10003,2021-04-17,Debit,Investment,2892.06,303907.06,Branch,Investment via Branch,Success
203,ABL-10003,2023-03-07,Debit,Utility Bill,25597.17,278309.89,Mobile App,Utility Bill via Mobile App,Success
204,ABL-10003,2022-06-01,Debit,Salary,28662.64,249647.25,Mobile App,Salary via Mobile App,Success
205,ABL-10003,2022-01-01,Credit,Shopping,47038.6,296685.85,POS,Shopping via POS,Success
206,ABL-10003,2021-09-11,Debit,Transfer,44040.08,252645.77,POS,Transfer via POS,Success
207,ABL-10003,2024-10-30,Credit,Loan Payment,26396.05,279041.82,Online,Loan Payment via Online,Success
208,ABL-10003,2021-01-31,Credit,Insurance,15692.89,294734.71,Mobile App,Insurance via Mobile App,Success
209,ABL-10003,2021-03-09,Credit,Loan Payment,31935.92,326670.63,POS,Loan Payment via POS,Success
210,ABL-10003,2023-12-30,Credit,Transfer,2376.75,329047.38,Online,Transfer via Online,Success
211,ABL-10003,2024-05-22,Credit,Loan Payment,34535.83,363583.21,ATM,Loan Payment via ATM,Success
212,ABL-10003,2021-01-05,Debit,Salary,23012.87,340570.34,ATM,Salary via ATM,Success
213,ABL-10003,2025-05-16,Credit,Transfer,13363.0,353933.34,ATM,Transfer via ATM,Success
214,ABL-10003,2021-02-28,Debit,Investment,43768.94,310164.4,Online,Investment via Online,Success
215,ABL-10004,2024-09-14,Debit,Loan Payment,25354.35,257958.33,Mobile App,Loan Payment via Mobile App,Success
216,ABL-10004,2025-08-24,Credit,Utility Bill,17717.41,275675.74,Branch,Utility Bill via Branch,Success
217,ABL-10004,2027-01-26,Credit,Shopping,16814.29,292490.03,POS,Shopping via POS,Success
218,ABL-10004,2022-06-06,Debit,Insurance,16425.65,276064.38,Mobile App,Insurance via Mobile App,Success
219,ABL-10004,2024-08-20,Debit,Loan Payment,37768.04,238296.34,Branch,Loan Payment via Branch,Success
220,ABL-10004,2022-11-17,Debit,Utility Bill,34597.0,203699.34,Mobile App,Utility Bill via Mobile App,Success
221,ABL-10004,2023-04-01,Credit,Loan Payment,42390.66,246090.0,Branch,Loan Payment via Branch,Success
222,ABL-10004,2024-05-16,Credit,Cash Withdrawal,2057.41,248147.41,POS,Cash Withdrawal via POS,Success
223,ABL-10004,2023-07-10,Debit,Utility Bill,22612.0,225535.41,Online,Utility Bill via Online,Success
224,ABL-10004,2022-10-16,Debit,Utility Bill,30628.48,194906.93,Mobile App,Utility Bill via Mobile App,Success
225,ABL-10004,2024-10-24,Credit,Salary,32522.4,227429.33,POS,Salary via POS,Success
226,ABL-10004,2024-10-21,Debit,Utility Bill,16064.0,211365.33,ATM,Utility Bill via ATM,Failed
227,ABL-10004,2023-06-09,Debit,Utility Bill,40102.08,171263.25,Mobile App,Utility Bill via Mobile App,Success
228,ABL-10004,2024-02-02,Credit,Cash Withdrawal,14039.01,185302.26,Branch,Cash Withdrawal via Branch,Success
229,ABL-10004,2025-05-01,Credit,Investment,43628.57,228930.83,ATM,Investment via ATM,Success
230,ABL-10004,2025-08-08,Credit,Loan Payment,37838.44,266769.27,POS,Loan Payment via POS,Success
231,ABL-10004,2023-10-01,Credit,Transfer,6481.56,273250.83,Branch,Transfer via Branch,Success
232,ABL-10004,2026-01-12,Debit,Utility Bill,28042.51,245208.32,Online,Utility Bill via Online,Success
233,ABL-10004,2024-06-20,Debit,Cash Withdrawal,4054.1,241154.22,POS,Cash Withdrawal via POS,Success
234,ABL-10004,2022-12-13,Credit,Shopping,4598.09,245752.31,ATM,Shopping via ATM,Success
235,ABL-10004,2023-12-20,Credit,Shopping,46642.63,292394.94,Online,Shopping via Online,Success
236,ABL-10004,2024-06-19,Credit,Insurance,13683.22,306078.16,Branch,Insurance via Branch,Success
237,ABL-10004,2025-06-24,Credit,Investment,30959.9,337038.06,Mobile App,Investment via Mobile App,Success
238,ABL-10004,2024-12-02,Debit,Insurance,7546.95,329491.11,Online,Insurance via Online,Success
239,ABL-10004,2022-05-12,Credit,Shopping,15548.43,345039.54,POS,Shopping via POS,Success
240,ABL-10004,2025-10-09,Credit,Loan Payment,25369.29,370408.83,Mobile App,Loan Payment via Mobile App,Success
241,ABL-10004,2022-11-30,Credit,Investment,29508.02,399916.85,ATM,Investment via ATM,Success
242,ABL-10004,2026-05-31,Debit,Transfer,45994.09,353922.76,Branch,Transfer via Branch,Success
243,ABL-10004,2025-11-23,Debit,Utility Bill,44046.25,309876.51,POS,Utility Bill via POS,Success
244,ABL-10004,2024-04-20,Debit,Loan Payment,12548.37,297328.14,Mobile App,Loan Payment via Mobile App,Pending
245,ABL-10004,2025-07-30,Credit,Insurance,15991.53,313319.67,Branch,Insurance via Branch,Success
246,ABL-10004,2026-04-28,Debit,Salary,25077.24,288242.43,ATM,Salary via ATM,Success
247,ABL-10004,2024-08-27,Debit,Shopping,44921.99,243320.44,Online,Shopping via Online,Pending
248,ABL-10004,2025-12-03,Credit,Shopping,30055.09,273375.53,Mobile App,Shopping via Mobile App,Success
249,ABL-10004,2023-03-29,Credit,Insurance,8573.78,281949.31,Mobile App,Insurance via Mobile App,Success
250,ABL-10004,2024-08-14,Credit,Cash Withdrawal,1888.78,283838.09,Mobile App,Cash Withdrawal via Mobile App,Success
251,ABL-10004,2026-10-28,Debit,Transfer,7820.4,276017.69,ATM,Transfer via ATM,Success
252,ABL-10004,2026-08-12,Debit,Utility Bill,6530.29,269487.4,Online,Utility Bill via Online,Success
253,ABL-10004,2024-08-16,Credit,Transfer,31216.93,300704.33,ATM,Transfer via ATM,Success
254,ABL-10004,2025-07-07,Credit,Utility Bill,33202.08,333906.41,Branch,Utility Bill via Branch,Success
255,ABL-10004,2024-03-31,Debit,Investment,23205.38,310701.03,Mobile App,Investment via Mobile App,Success
256,ABL-10004,2025-02-24,Debit,Transfer,47343.36,263357.67,Branch,Transfer via Branch,Success
257,ABL-10004,2024-09-07,Debit,Salary,20177.3,243180.37,POS,Salary via POS,Success
258,ABL-10005,2022-08-15,Credit,Loan Payment,31247.03,524544.7,ATM,Loan Payment via ATM,Success
259,ABL-10005,2021-08-29,Credit,Loan Payment,27978.61,552523.31,Branch,Loan Payment via Branch,Success
260,ABL-10005,2020-06-26,Credit,Shopping,11215.07,563738.38,Branch,Shopping via Branch,Success
261,ABL-10005,2023-07-20,Credit,Investment,21332.5,585070.88,Online,Investment via Online,Success
262,ABL-10005,2021-02-18,Credit,Cash Withdrawal,13740.78,598811.66,Branch,Cash Withdrawal via Branch,Failed
